Activity_Time,Action,Doc_ID,Doc_Name,Actor_ID,Actor_Name
2024-10-09T19:52:36.338Z,Permission Change-to:none-from:can_view/can_comment-for:drew@accord.foundation,1daBPF34SS_vqXN3jvFrBcTw4FqrtvfNi,folder271,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:36.338Z,Permission Change-to:none-from:can_view-for:emily@accord.foundation,1daBPF34SS_vqXN3jvFrBcTw4FqrtvfNi,folder271,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:35.665Z,Permission Change-to:none-from:can_edit-for:alice@accord.foundation,1QpEcIq5uFwUxHpEwml7gHDrdC8A8QdOb,folder263,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:35.665Z,Permission Change-to:none-from:can_view/can_comment-for:drew@accord.foundation,1QpEcIq5uFwUxHpEwml7gHDrdC8A8QdOb,folder263,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:35.665Z,Permission Change-to:none-from:can_view-for:emily@accord.foundation,1QpEcIq5uFwUxHpEwml7gHDrdC8A8QdOb,folder263,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:35.665Z,Move:Root:Root,1QpEcIq5uFwUxHpEwml7gHDrdC8A8QdOb,folder263,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:31.073Z,Permission Change-to:can_view-from:none-for:alice@accord.foundation,1GAEDYYazJ66UbI5LW23MkkYj5iVfyfVSG356Q9mM8TA,file165,105806898968975168992,bob@accord.foundation
2024-10-09T19:52:28.778Z,Create,1EI5qh3SCGQkk7ukQqoTrp46f-8G2iF2r,folder273,112627686161565491345,drew@accord.foundation
2024-10-09T19:52:28.778Z,Permission Change-to:owner-from:none-for:drew@accord.foundation,1EI5qh3SCGQkk7ukQqoTrp46f-8G2iF2r,folder273,112627686161565491345,drew@accord.foundation
2024-10-09T19:52:27.003Z,Permission Change-to:can_view/can_comment-from:none-for:emily@accord.foundation,1P14B5sshG6A0eOMBsJpn3SJqRpfW9vUHizyvPOSLSBw,file188,112627686161565491345,drew@accord.foundation
2024-10-09T19:52:25.463Z,Permission Change-to:none-from:can_edit-for:alice@accord.foundation,1JUR3wlq9TexW1O7s7RlHvHB4gjNkmoChV68kJGvj4yE,file253,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:25.463Z,Permission Change-to:none-from:can_view-for:emily@accord.foundation,1JUR3wlq9TexW1O7s7RlHvHB4gjNkmoChV68kJGvj4yE,file253,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:25.463Z,Move:Root:Root,1JUR3wlq9TexW1O7s7RlHvHB4gjNkmoChV68kJGvj4yE,file253,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:25.385Z,Permission Change-to:none-from:can_view/can_comment-for:drew@accord.foundation,1IS0MrC0qU7Iamdb0v71Wbf5eL84mqJVo,folder232,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:25.385Z,Move:Root:Root,1IS0MrC0qU7Iamdb0v71Wbf5eL84mqJVo,folder232,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:25.290Z,Move:Root:Root,13j2M0bAPbUK3WVBSz4wC3ZyotmGBMV1nIZ3Scw_nFN0,file187,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:25.275Z,Delete,1kTSe1TE7ELKAiMYiqP7ahYFtecUZi4M5KzzyT8Rhs9E,file239,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:24.458Z,Delete,1XrqWW_BQhL_zhbyW6pvKMEAvOeM5sXmt,folder229,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:22.818Z,Create,121F10VMbPNAaYRvlqsNjkgSIizm4kZ_I,folder272,102378379302274418344,emily@accord.foundation
2024-10-09T19:52:22.818Z,Permission Change-to:can_edit-from:none-for:bob@accord.foundation,121F10VMbPNAaYRvlqsNjkgSIizm4kZ_I,folder272,102378379302274418344,emily@accord.foundation
2024-10-09T19:52:22.818Z,Permission Change-to:can_view-from:none-for:drew@accord.foundation,121F10VMbPNAaYRvlqsNjkgSIizm4kZ_I,folder272,102378379302274418344,emily@accord.foundation
2024-10-09T19:52:22.818Z,Permission Change-to:owner-from:none-for:emily@accord.foundation,121F10VMbPNAaYRvlqsNjkgSIizm4kZ_I,folder272,102378379302274418344,emily@accord.foundation
2024-10-09T19:52:18.485Z,Create,1daBPF34SS_vqXN3jvFrBcTw4FqrtvfNi,folder271,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:18.485Z,Permission Change-to:owner-from:none-for:alice@accord.foundation,1daBPF34SS_vqXN3jvFrBcTw4FqrtvfNi,folder271,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:18.485Z,Permission Change-to:can_edit-from:none-for:bob@accord.foundation,1daBPF34SS_vqXN3jvFrBcTw4FqrtvfNi,folder271,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:18.485Z,Permission Change-to:can_view/can_comment-from:none-for:drew@accord.foundation,1daBPF34SS_vqXN3jvFrBcTw4FqrtvfNi,folder271,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:18.485Z,Permission Change-to:can_view-from:none-for:emily@accord.foundation,1daBPF34SS_vqXN3jvFrBcTw4FqrtvfNi,folder271,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:16.474Z,Permission Change-to:none-from:can_view/can_comment-for:drew@accord.foundation,1JUR3wlq9TexW1O7s7RlHvHB4gjNkmoChV68kJGvj4yE,file253,114128337804353370964,alice@accord.foundation
2024-10-09T19:52:14.533Z,Permission Change-to:can_edit-from:none-for:emily@accord.foundation,1KpC0x44Uqf_QwZRmoZHTANYTgqXLuBKm_NhxZcprxlw,file244,104174300424369407986,carol@accord.foundation
2024-10-09T19:52:12.399Z,Permission Change-to:can_edit-from:none-for:alice@accord.foundation,1QpEcIq5uFwUxHpEwml7gHDrdC8A8QdOb,folder263,105806898968975168992,bob@accord.foundation
2024-10-09T19:52:12.399Z,Permission Change-to:can_view/can_comment-from:none-for:drew@accord.foundation,1QpEcIq5uFwUxHpEwml7gHDrdC8A8QdOb,folder263,105806898968975168992,bob@accord.foundation
2024-10-09T19:52:12.399Z,Permission Change-to:can_view-from:none-for:emily@accord.foundation,1QpEcIq5uFwUxHpEwml7gHDrdC8A8QdOb,folder263,105806898968975168992,bob@accord.foundation
2024-10-09T19:52:12.399Z,Move:Root:folder229,1QpEcIq5uFwUxHpEwml7gHDrdC8A8QdOb,folder263,105806898968975168992,bob@accord.foundation
2024-10-09T19:52:10.351Z,Create,14P_xIT8F1rd44TIhge7GLiyKfPW5hI5B,folder270,102378379302274418344,emily@accord.foundation
2024-10-09T19:52:10.351Z,Permission Change-to:can_edit-from:none-for:bob@accord.foundation,14P_xIT8F1rd44TIhge7GLiyKfPW5hI5B,folder270,102378379302274418344,emily@accord.foundation
2024-10-09T19:52:10.351Z,Permission Change-to:can_view-from:none-for:drew@accord.foundation,14P_xIT8F1rd44TIhge7GLiyKfPW5hI5B,folder270,102378379302274418344,emily@accord.foundation
2024-10-09T19:52:10.351Z,Permission Change-to:owner-from:none-for:emily@accord.foundation,14P_xIT8F1rd44TIhge7GLiyKfPW5hI5B,folder270,102378379302274418344,emily@accord.foundation
2024-10-09T19:52:08.352Z,Delete,1CgdKsVEB_uzTfgkfZ5-T6kojc2O8d9Nn,folder240,112627686161565491345,drew@accord.foundation
2024-10-09T19:52:05.392Z,Permission Change-to:none-from:can_view-for:alice@accord.foundation,17vy1CNURxi0l2nKfEuxZcGbySG0IIx90,folder249,105806898968975168992,bob@accord.foundation
2024-10-09T19:52:05.392Z,Move:folder232:folder251,17vy1CNURxi0l2nKfEuxZcGbySG0IIx90,folder249,105806898968975168992,bob@accord.foundation
2024-10-09T19:52:02.956Z,Create,1U_AZX1ndt6kq2fE3wVLLlC7yqpucNVG9,folder269,112627686161565491345,drew@accord.foundation
2024-10-09T19:52:02.956Z,Permission Change-to:owner-from:none-for:drew@accord.foundation,1U_AZX1ndt6kq2fE3wVLLlC7yqpucNVG9,folder269,112627686161565491345,drew@accord.foundation
2024-10-09T19:52:01.401Z,Permission Change-to:none-from:can_edit-for:emily@accord.foundation,1P14B5sshG6A0eOMBsJpn3SJqRpfW9vUHizyvPOSLSBw,file188,102378379302274418344,emily@accord.foundation
2024-10-09T19:51:58.976Z,Permission Change-to:can_view-from:can_edit-for:alice@accord.foundation,17vy1CNURxi0l2nKfEuxZcGbySG0IIx90,folder249,114128337804353370964,alice@accord.foundation
2024-10-09T19:51:58.970Z,Permission Change-to:can_view-from:can_edit-for:alice@accord.foundation,1bW0lvwkBI5agkzT6ivyhbvMsliQFu1q8,folder265,114128337804353370964,alice@accord.foundation
2024-10-09T19:51:58.401Z,Permission Change-to:can_view-from:can_edit-for:alice@accord.foundation,1IS0MrC0qU7Iamdb0v71Wbf5eL84mqJVo,folder232,114128337804353370964,alice@accord.foundation
2024-10-09T19:51:56.827Z,Edit,1PEHMgNKtF_lx0BRBbKQOdTPxG2--K8vCrMoTl5gqOPA,file268,112627686161565491345,drew@accord.foundation
2024-10-09T19:51:56.327Z,Edit,1PEHMgNKtF_lx0BRBbKQOdTPxG2--K8vCrMoTl5gqOPA,file268,112627686161565491345,drew@accord.foundation
2024-10-09T19:51:55.729Z,Create,1PEHMgNKtF_lx0BRBbKQOdTPxG2--K8vCrMoTl5gqOPA,file268,112627686161565491345,drew@accord.foundation
2024-10-09T19:51:55.729Z,Permission Change-to:owner-from:none-for:drew@accord.foundation,1PEHMgNKtF_lx0BRBbKQOdTPxG2--K8vCrMoTl5gqOPA,file268,112627686161565491345,drew@accord.foundation
2024-10-09T19:51:53.005Z,Move:Root:folder255,1XrqWW_BQhL_zhbyW6pvKMEAvOeM5sXmt,folder229,114128337804353370964,alice@accord.foundation
2024-10-09T19:51:50.972Z,Create,1u_EYU08QGRKtrA5FKLukbArCPfQ4mq9N,folder267,112627686161565491345,drew@accord.foundation
